Little Rock,Philander Smith,102,59,41-66,23-60,62.1,38.3,4-20,5-24,20.0,20.8,16-22,8-12,72.7,66.7,46,28,11,7,34,17,27,5,8,4,1,0,14,18,17,19,0,0,0,0,43,0 
GardnerWebb,Alice Lloyd,87,57,33-62,23-66,53.2,34.8,6-14,1-16,42.9,6.3,15-21,10-19,71.4,52.6,40,46,11,19,29,21,28,8,11,5,13,4,15,18,17,15,0,1,0,0,32,0 
Bucknell,Binghamton,77,63,27-44,17-51,61.4,33.3,6-10,9-23,60.0,39.1,17-31,20-26,54.8,76.9,38,31,7,8,29,19,14,13,8,7,1,0,16,12,18,20,0,1,0,0,23,0 
Charlotte,Radford,57,49,19-51,18-62,37.3,29.0,4-16,1-19,25.0,5.3,15-22,12-18,68.2,66.7,44,43,13,17,30,21,11,7,8,12,8,4,17,14,14,17,0,0,0,0,10,0 
N. Carolina,Evansville,97,48,32-66,17-66,48.5,25.8,7-19,6-27,36.8,22.2,26-43,8-11,60.5,72.7,65,34,21,10,41,20,19,10,9,3,7,0,13,17,15,32,0,0,0,0,51,1 
Virginia,George Mason,68,48,26-43,19-40,60.5,47.5,7-14,2-8,50.0,25.0,9-17,8-16,52.9,50.0,25,24,6,6,18,17,10,6,10,8,7,1,14,20,17,17,0,0,0,0,22,2 
Wagner,Hofstra,58,43,19-56,13-45,33.9,28.9,4-14,0-9,28.6,0.0,16-20,17-25,80.0,68.0,50,33,16,8,29,24,11,5,12,8,5,3,19,20,23,20,0,0,0,0,17,4 
Columbia,Holy Cross,46,45,14-60,18-47,23.3,38.3,6-26,4-14,23.1,28.6,12-22,5-9,54.5,55.6,46,45,13,4,27,38,10,9,6,2,5,4,6,18,9,18,0,0,0,0,1,20 
Texas St.,Houston,81,78,35-65,25-65,53.8,38.5,11-18,6-17,61.1,35.3,13-22,15-18,59.1,83.3,56,30,22,12,30,13,17,13,4,11,9,4,20,11,25,22,1,1,0,0,35,0 
Kent St.,James Madison,71,51,27-52,21-63,51.9,33.3,7-17,6-23,41.2,26.1,10-14,3-7,71.4,42.9,40,34,9,14,30,15,17,10,13,15,3,2,23,19,11,12,0,0,0,0,20,9 
Massachusetts,East Carolina,63,58,21-48,22-62,43.8,35.5,6-18,5-24,33.3,20.8,15-25,9-23,60.0,39.1,49,42,11,16,31,21,13,11,9,13,6,5,24,16,19,19,0,0,0,0,22,0 
Missouri,Villanova,81,71,28-66,25-60,42.4,41.7,10-25,11-29,40.0,37.9,15-18,10-15,83.3,66.7,41,40,14,13,23,25,23,16,8,4,1,1,8,15,14,19,0,0,0,0,16,2 
Monmouth,Navy,69,67,29-50,24-51,58.0,47.1,5-15,10-28,33.3,35.7,6-9,9-12,66.7,75.0,37,22,13,11,17,10,16,18,7,9,1,3,16,12,13,15,0,0,0,0,6,5 
Syracuse,Marshall,62,56,22-53,22-65,41.5,33.8,3-11,5-24,27.3,20.8,15-23,7-10,65.2,70.0,34,52,8,20,25,26,12,11,12,5,10,2,12,19,14,19,0,0,0,0,17,0 
UNCW,Liberty,77,68,31-67,26-61,46.3,42.6,4-25,4-18,16.0,22.2,11-14,12-20,78.6,60.0,52,39,16,12,29,23,20,14,8,6,6,4,19,17,17,16,0,0,0,0,15,4 
Seton Hall,N.J. Tech,78,48,21-52,21-62,40.4,33.9,9-27,9-21,33.3,42.9,17-28,8-14,60.7,57.1,41,50,8,13,32,30,16,12,6,8,6,2,10,10,15,20,0,0,0,0,14,2 
Quinnipiac,Hartford,70,61,23-52,20-45,44.2,44.4,5-13,10-22,38.5,45.5,19-32,11-24,59.4,45.8,45,34,17,9,25,18,8,13,7,8,1,3,17,20,23,26,1,1,0,0,11,3 
Robert Morris,Duquesne,64,60,22-53,24-63,41.5,38.1,5-17,6-23,29.4,26.1,15-18,6-13,83.3,46.2,41,42,13,17,25,21,12,17,4,2,4,6,13,10,13,16,1,0,0,0,6,7 
Wofford,Tulane,61,50,24-52,20-51,46.2,39.2,7-20,2-16,35.0,12.5,6-7,8-13,85.7,61.5,39,35,8,10,24,21,16,5,4,4,4,3,12,12,10,13,0,0,0,0,12,0 
TCU,Texas Tech,75,69,19-51,24-44,37.3,54.5,11-25,2-8,44.0,25.0,26-34,19-24,76.5,79.2,31,38,11,6,16,25,14,19,8,3,3,2,12,20,19,23,0,0,0,0,16,2 
