Winner, Loser, w_pts, l_pts, w_reb, l_reb, w_ast, l_ast
Army,American,72,60,28,14,13,8 
UMass Lowell,Vermont,80,65,40,26,13,10 
Georgia,Miss. St.,58,50,47,39,7,11 
Bryant,Albany,86,69,35,29,22,14 
Alabama,Arkansas,84,69,37,37,11,9 
Baylor,West Virginia,83,78,32,34,10,15 
Miami,Boston College,88,72,30,22,20,14 
Binghamton,N.J. Tech,72,71,37,39,15,13 
Colgate,Boston U.,77,71,35,42,17,18 
Campbell,SC Upstate,78,63,40,28,10,12 
Charleston,UNCW,71,69,35,37,12,12 
Xavier,Creighton,90,87,41,30,22,20 
Duquesne,Saint Joseph's,92,80,31,36,24,19 
ETSU,The Citadel,96,74,35,31,17,12 
Furman,Mercer,84,66,31,38,15,9 
GardnerWebb,Presbyterian,79,78,34,27,17,15 
William & Mary,Hampton,81,65,38,21,11,9 
Charleston So.,High Point,106,69,44,25,21,9 
Lehigh,Holy Cross,76,58,34,28,14,11 
Penn St.,Indiana,85,66,29,38,19,15 
Lafayette,Navy,59,50,35,33,14,12 
LoyolaMd.,Bucknell,67,57,30,31,14,11 
La Salle,Massachusetts,78,77,27,37,17,18 
UCF,Memphis,107,104,41,36,19,14 
Hofstra,Monmouth,77,57,30,26,12,12 
NC A&T,Elon,80,71,49,34,10,13 
UNCG,VMI,72,57,32,30,14,7 
New Hamp.,Maine,71,58,37,30,15,13 
Duke,Pittsburgh,77,69,51,28,13,9 
Radford,Winthrop,66,52,34,28,12,10 
Richmond,Davidson,61,57,35,35,12,10 
S. Illinois,Indiana St.,69,61,36,28,11,12 
Rhode Island,St. Bona.,68,67,44,36,11,17 
Delaware,Towson,72,59,31,33,8,12 
Marquette,UConn,82,76,29,35,16,16 
Syracuse,Va. Tech,82,72,37,36,15,19 
Chattanooga,W. Carolina,95,76,31,28,14,6 
UTRio Grande Valley,Abilene Chr.,103,86,43,23,21,23 
Bradley,Evansville,91,46,40,25,19,6 
FAU,FIU,77,73,44,35,18,10 
Saint Louis,George Mason,63,62,30,39,15,16 
North Texas,La. Tech,67,65,28,25,20,8 
Illinois St.,Missouri St.,76,66,36,41,6,12 
Middle Tenn.,Rice,71,68,33,34,7,13 
Houston,South Florida,83,77,30,36,9,12 
Tulane,SMU,97,88,27,45,21,23 
Samford,Wofford,83,58,31,27,18,11 
Tarleton St.,Chicago St.,73,63,36,33,12,9 
Texas A&M,Missouri,82,64,42,25,17,11 
Cincinnati,East Carolina,83,55,46,29,20,9 
Wake Forest,Florida St.,90,75,23,30,15,15 
Clemson,Louisville,83,70,33,30,11,10 
Rutgers,Northwestern,65,62,34,29,16,14 
Texas,TCU,79,75,35,33,18,11 
UTEP,UTSA,69,57,34,26,14,7 
W. Kentucky,UAB,80,78,30,44,11,13 
UC Irvine,CS Fullerton,70,65,36,32,10,12 
UC Davis,CSNorthridge,62,54,42,24,17,13 
UC Riverside,UC San Diego,74,68,45,31,20,10 
UCSB,CalBaker.,60,48,32,25,10,7 
Utah Valley,Cal Baptist,71,67,36,32,10,13 
Boise St.,UNLV,84,66,35,31,17,12 
Washington St.,California,66,51,37,30,13,10 
